Lambda,Packets,Served Packets,Served %,Mismatched Packets,Mismatch %,Blocked Packets,Block %,Throughput,Average Wait Time
0.01,1495749,95815,6.405820762708181,1399934,93.59417923729181,0,0.0,58.246559902991066,6.256682147889161
0.02,1493487,85338,5.7140102324292075,1408149,94.2859897675708,0,0.0,101.28362515774519,6.092561344301483
0.03,1488444,84159,5.654159645912107,1404283,94.34570598557957,2,0.0001343685083214417,150.92631918314996,6.282762390237527
0.04,1487033,77033,5.180315433483991,1409998,94.81955007050954,2,0.00013449600647732766,184.17333369114897,6.350836654420832
0.05,1488857,65239,4.381817729976754,1423603,95.61717478575846,15,0.0010074842647749248,194.83122335447243,6.3519060684559845
0.06,1491532,51281,3.438142795461311,1440197,96.55823676595608,54,0.003620438582611704,186.06352322618028,6.735477077280084
0.07,1428253,2331,0.16320637870181262,1425902,99.83539330916861,20,0.001400312129573682,10.093280354305891,7.5225225225225225
0.08,1249895,1025,0.08200688857864061,1248795,99.91199260737902,75,0.006000504042339557,5.20712521073041,8.59219512195122
0.09,1111055,597,0.053732713502031855,1110413,99.94221708196264,45,0.0040502045353290345,3.345549233059152,8.544388609715243
0.1,999951,531,0.05310260202749935,999369,99.94179714806026,51,0.0051002499122457,3.2497471583717,8.465160075329567
