Lambda,Packets,Served Packets,Served %,Mismatched Packets,Mismatch %,Blocked Packets,Block %,Throughput,Average Wait Time
0.01,1487627,99184,6.66726269421031,1388443,93.33273730578969,0,0.0,61.2670582905602,6.369979028875625
0.02,1490203,101346,6.800818411988165,1388853,93.19891316820595,4,0.00026841980589221737,124.87797659805781,6.4738223511534745
0.03,1489695,102978,6.912690181547229,1386716,93.08724269061788,1,6.71278348923773e-05,190.1335340815174,6.6430499718386455
0.04,1491849,83865,5.621547489055528,1407938,94.37536908896276,46,0.003083421981715308,202.3061844744452,6.572527275979253
0.05,1493399,85595,5.731556000774073,1407652,94.25826587536217,152,0.01017812386374974,262.20945360046653,6.758058297797769
0.06,1491610,66210,4.438827843739316,1425232,95.54990915856021,168,0.011262997700471303,242.67497979547477,6.891134269747773
0.07,1428126,3624,0.253759122094269,1424401,99.73916867279218,101,0.007072205113554406,15.941723478236838,7.876103752759382
0.08,1249867,1424,0.113932122377821,1248340,99.87782700079289,103,0.008240876829294638,7.185044994118406,9.15870786516854
0.09,1111032,890,0.08010570352609106,1110037,99.910443623586,105,0.00945067288790962,4.843007584902486,10.315730337078652
0.1,999964,711,0.07110255969214892,999106,99.9141969110888,147,0.014700529219051886,4.182519304994202,10.333333333333334
